Approved_symbol	Locus	Chromosome
HIGD1AP10	11q13.1	11
HIGD1AP11	1p32.3	1
HIGD1AP12	1p13.2	1
HIGD1AP13	4q21.21	4
HIGD1AP14	4q25	4
HIGD1AP15	20p12.2	20
HIGD1AP16	20q11.23	20
HIGD1AP17	14q12	14
HIGD1AP18	8q21.11	8
HIGD1B	17q21.31	17
HIGD1C	12q13.12	12
HIGD2A	5q35.2	5
HIGD2AP1	2q37.1	2
HIGD2AP2	3p21.31	3
HIGD2B	15q24.1	15
HIKESHI	11q14.2	11
HIKESHIP1	Xp22.11	X
HIKESHIP2	19p13.2	19
HIKESHIP3	8p12	8
HILPDA	7q32.1	7
HILPDA-AS1	7q32.1	7
HINFP	11q23.3	11
HINT1	5q23.3	5
HINT1P1	7q34	7
HINT1P2	7q21.3	7
HINT2	9p13.3	9
HINT2P1	3p26.3	3
HINT3	6q22.32	6
HIP1	7q11.23	7
HIP1R	12q24.31	12
HIPK1	1p13.2	1
HIPK1-AS1	1p13.2	1
HIPK2	7q34	7
HIPK3	11p13	11
HIPK4	19q13.2	19
HIRA	22q11.21	22
HIRAP1	10p12.1	10
HIRIP3	16p11.2	16
HISLA	14q31.3	14
HIST2H3B	1q21.2	1
HIVE1	12	12
HIVEP1	6p24.1	6
HIVEP2	6q24.2	6
HIVEP2-DT	6q24.2	6
HIVEP3	1p34.2	1
HJURP	2q37.1	2
HJV	1q21.1	1
HK1	10q22.1	10
HK2	2p12	2
HK2-DT	2p12	2
HK2P1	Xq21.1	X
HK3	5q35.2	5
HKDC1	10q22.1	10
HLA-A	6p22.1	6
HLA-B	6p21.33	6
HLA-C	6p21.33	6
HLA-DMA	6p21.32	6
HLA-DMB	6p21.32	6
HLA-DOA	6p21.32	6
HLA-DOB	6p21.32	6
HLA-DPA1	6p21.32	6
HLA-DPA2	6p21.32	6
HLA-DPA3	6p21.32	6
HLA-DPB1	6p21.32	6
HLA-DPB2	6p21.32	6
HLA-DQA1	6p21.32	6
HLA-DQA1-AS1	6p21.32	6
HLA-DQA2	6p21.32	6
HLA-DQB1	6p21.32	6
HLA-DQB1-AS1	6p21.32	6
HLA-DQB2	6p21.32	6
HLA-DQB3	6p21.3	6
HLA-DRA	6p21.32	6
HLA-DRB1	6p21.32	6
HLA-DRB2	6p21.3 alternate reference locus	6
HLA-DRB3	6p21.3 alternate reference locus	6
HLA-DRB4	6p21.3 alternate reference locus	6
HLA-DRB5	6p21.32	6
HLA-DRB6	6p21.32	6
HLA-DRB7	6p21.3 alternate reference locus	6
HLA-DRB8	6p21.3 alternate reference locus	6
HLA-DRB9	6p21.32	6
HLA-E	6p22.1	6
HLA-F	6p22.1	6
HLA-F-AS1	6p22.1	6
HLA-G	6p22.1	6
HLA-H	6p22.1	6
HLA-J	6p22.1	6
HLA-K	6p22.1	6
HLA-L	6p22.1	6
HLA-N	6p22.1	6
HLA-P	6p22.1	6
HLA-S	6p21.33	6
HLA-T	6p22.1	6
HLA-U	6p22.1	6
HLA-V	6p22.1	6
HLA-W	6p22.1	6
HLA-X	6p21.3	6
HLA-Y	6p21.33	6
HLA-Z	6p21.32	6
HLCS	21q22.13	21
HLCS-AS1	21q22.13	21
HLCS-IT1	21q22.13	21
HLF	17q22	17
HLFP1	6q23.2	6
HLTF	3q24	3
HLTF-AS1	3q24	3
HLX	1q41	1
HLX-AS1	1q41	1
HM13	20q11.21	20
HM13-AS1	20q11.21	20
HM13-IT1	20q11.21	20
HMBOX1	8p21.1-p12	8
HMBOX1-IT1	8p12	8
HMBOX1-OT1	8p12	8
HMBS	11q23.3	11
HMCES	3q21.3	3
HMCN1	1q25.3-q31.1	1
HMCN2	9q34.11	9
HMG1P	reserved	reserved
HMG20A	15q24.3	15
HMG20B	19p13.3	19
HMGA1	6p21.31	6
HMGA1P1	Xp21.3	X
HMGA1P2	4q13.3	4
HMGA1P3	12q24.11	12
HMGA1P4	9q34.11	9
HMGA1P5	10q22.2	10
HMGA1P6	13q12.12	13
HMGA1P7	6q23.2	6
HMGA1P8	2p13.1	2
HMGA2	12q14.3	12
HMGA2-AS1	12q14.3	12
HMGB1	13q12.3	13
HMGB1L15	3p24.3	3
HMGB1P1	20q13.31	20
HMGB1P3	2q37.1	2
HMGB1P4	2q31.1	2
HMGB1P5	3p24.3	3
HMGB1P6	15q23	15
HMGB1P7	10p11.22	10
HMGB1P8	15q26.1	15
HMGB1P9	2q35	2
HMGB1P10	22q12.1	22
HMGB1P11	1q24.3	1
HMGB1P12	Xq23	X
HMGB1P13	6q23.2	6
HMGB1P14	14q23.1	14
HMGB1P15	Xp11.22	X
HMGB1P16	Xp21.1	X
HMGB1P17	6q23.3	6
HMGB1P18	1p31.1	1
HMGB1P19	8q24.13	8
HMGB1P20	6p12.1	6
HMGB1P21	5q14.1	5
HMGB1P22	5q23.2	5
HMGB1P23	8p12	8
HMGB1P24	17q12	17
HMGB1P25	2p25.1	2
HMGB1P26	1q42.13	1
HMGB1P27	2q32.3	2
HMGB1P28	4p13	4
HMGB1P29	5q23.2	5
HMGB1P30	3q24	3
HMGB1P31	2p16.2	2
HMGB1P32	Xq21.33	X
HMGB1P33	15q21.3	15
HMGB1P34	14q24.1	14
HMGB1P35	5q13.3	5
HMGB1P36	3p13	3
HMGB1P37	9q33.2	9
HMGB1P38	3p12.2	3
HMGB1P39	6q14.1	6
HMGB1P40	11p15.1	11
HMGB1P41	8q21.13	8
HMGB1P42	11q23.3	11
HMGB1P43	15q25.3	15
HMGB1P44	4q21.1	4
HMGB1P45	1p32.3	1
HMGB1P46	8q23.1	8
HMGB1P47	5q11.2	5
HMGB1P48	1p34.1	1
HMGB1P49	12p11.22	12
HMGB1P50	10q11.23	10
HMGB1P51	15q21.3	15
HMGB2	4q34.1	4
HMGB2P1	19p13.3	19
HMGB3	Xq28	X
HMGB3P1	20q11.22	20
HMGB3P2	20q11.23	20
HMGB3P3	5p15.32	5
HMGB3P4	13q32.3	13
HMGB3P5	10q25.2	10
HMGB3P6	1q23.3	1
HMGB3P7	13q33.1	13
HMGB3P8	10q25.3	10
HMGB3P9	1p22.1	1
HMGB3P10	1p21.2	1
HMGB3P11	2q12.1	2
HMGB3P12	3p24.2	3
HMGB3P13	3q22.2	3
HMGB3P14	3q22.2	3
HMGB3P15	4q22.2	4
HMGB3P16	5q22.2	5
HMGB3P17	5q23.2	5
HMGB3P18	6q22.31	6
HMGB3P19	6q25.2	6
HMGB3P20	7p15.2	7
HMGB3P21	7q21.3	7
HMGB3P22	5q35.3	5
HMGB3P23	9p21.1	9
HMGB3P24	9p13.2	9
HMGB3P25	11q14.2	11
HMGB3P26	14q32.32	14
HMGB3P27	17q21.2	17
HMGB3P28	18p11.21	18
HMGB3P29	19p13.11	19
HMGB3P30	Xq23	X
HMGB3P31	Xq26.3	X
HMGB3P32	16q21	16
HMGB4	1p35.1	1
HMGCL	1p36.11	1
HMGCLL1	6p12.1	6
HMGCR	5q13.3	5
HMGCS1	5p12	5
HMGCS2	1p12	1
HMGN1	21q22.2	21
HMGN1P1	14q22.3	14
HMGN1P2	21q22.11	21
HMGN1P3	14q24.1	14
HMGN1P4	1q25.3	1
HMGN1P5	1q23.1	1
HMGN1P6	2q33.3	2
HMGN1P7	3q11.1	3
HMGN1P8	3q26.1	3
HMGN1P9	3q22.2	3
HMGN1P10	3q22.3	3
HMGN1P11	4q13.1	4
HMGN1P12	5q13.2	5
HMGN1P13	5q22.1	5
HMGN1P14	5q22.1	5
HMGN1P15	5q22.3	5
HMGN1P16	5q32	5
HMGN1P17	5q11.2	5
HMGN1P18	7q31.31	7
HMGN1P19	7p12.3	7
HMGN1P20	10p12.31	10
HMGN1P21	11p15.4	11
HMGN1P22	11p15.3	11
HMGN1P23	12p13.1	12
HMGN1P24	13q32.1	13
HMGN1P25	14q32.2	14
HMGN1P26	15q22.2	15
HMGN1P27	15q24.3	15
HMGN1P28	17q23.2	17
HMGN1P29	17q21.31	17
HMGN1P30	18q21.31	18
HMGN1P31	18q21.32	18
HMGN1P32	19q13.42	19
HMGN1P33	Xp22.2	X
HMGN1P34	Xq21.1	X
HMGN1P35	Xq13.1	X
HMGN1P36	2q11.2	2
HMGN1P37	Xq28	X
HMGN1P38	15q26.1	15
HMGN2	1p36.11	1
HMGN2P1	14q11.2	14
HMGN2P2	14q31.1	14
HMGN2P3	16p12.1	16
HMGN2P4	5q13.3	5
HMGN2P5	15q13.1	15
HMGN2P6	14q12	14
HMGN2P7	3p25.1	3
HMGN2P8	10q23.1	10
HMGN2P9	22q13.31	22
HMGN2P10	22q13.2	22
HMGN2P11	7q21.11	7
HMGN2P12	6q21	6
HMGN2P13	3q25.2	3
HMGN2P14	14q23.2	14
HMGN2P15	17q21.2	17
HMGN2P16	9p22.3	9
HMGN2P17	1p36.23	1
HMGN2P18	1q22	1
HMGN2P19	1q42.13	1
HMGN2P20	2p23.3	2
HMGN2P21	2p13.3	2
HMGN2P22	2q11.2	2
HMGN2P23	2q14.1	2
HMGN2P24	3p22.1	3
HMGN2P25	3q23	3
HMGN2P26	3q26.2	3
HMGN2P27	5q23.1	5
HMGN2P28	6p25.2	6
HMGN2P29	6q22.31	6
HMGN2P30	7p14.1	7
HMGN2P31	9p24.1	9
HMGN2P32	9q31.2	9
HMGN2P33	9q21.32	9
HMGN2P34	10q22.1	10
HMGN2P35	10q24.1	10
HMGN2P36	11p15.2	11
HMGN2P37	11p11.2	11
HMGN2P38	11q13.4	11
HMGN2P39	13q21.1	13
HMGN2P40	15q23	15
HMGN2P41	16p11.1	16
HMGN2P42	17q23.2	17
HMGN2P43	17q25.1	17
HMGN2P44	18q12.1	18
HMGN2P45	Xp22.13	X
HMGN2P46	15q21.1	15
HMGN2P47	15q22.33	15
HMGN2P48	Xq28	X
HMGN3	6q14.1	6
HMGN3-AS1	6q14.1	6
HMGN3P1	1q21.3	1
HMGN4	6p22.2	6
HMGN5	Xq21.1	X
HMGXB3	5q32	5
HMGXB4	22q12.3	22
HMHB1	5q31.3	5
HMI	reserved	reserved
HMMR	5q34	5
HMMR-AS1	5q34	5
HMOX1	22q12.3	22
HMOX2	16p13.3	16
HMS1	X	X
HMSD	18q22.1	18
HMX1	4p16.1	4
HMX2	10q26.13	10
HMX3	10q26.13	10
HNB1	16p13-p12	16
HNF1A	12q24.31	12
HNF1A-AS1	12q24.31	12
HNF1B	17q12	17
HNF4A	20q13.12	20
HNF4A-AS1	20q13.12	20
HNF4G	8q21.13	8
HNF4GP1	13q21.1	13
HNMT	2q22.1	2
HNRNPA0	5q31.2	5
HNRNPA1	12q13.13	12
HNRNPA1L2	13q14.3	13
HNRNPA1L3	16q12.1	16
HNRNPA1P1	6p22.1	6
HNRNPA1P2	6p21.32	6
HNRNPA1P3	20q13.12	20
HNRNPA1P4	8q21.13	8
HNRNPA1P5	15q23	15
HNRNPA1P6	1p32.2	1
HNRNPA1P7	18q12.1	18
HNRNPA1P8	7q21.11	7
HNRNPA1P9	7q21.12	7
HNRNPA1P10	19p13.2	19
HNRNPA1P11	18q22.3	18
HNRNPA1P12	5q14.1	5
HNRNPA1P13	5q31.1	5
HNRNPA1P14	9q22.1	9
HNRNPA1P15	9q33.3	9
HNRNPA1P16	17p13.3	17
HNRNPA1P17	3q13.13	3
HNRNPA1P18	13q21.33	13
HNRNPA1P19	17p11.2	17
HNRNPA1P20	3q24	3
HNRNPA1P21	3p22.1	3
HNRNPA1P22	3p22.1	3
HNRNPA1P23	3q21.1	3
HNRNPA1P24	3q25.1	3
HNRNPA1P25	Xq13.2	X
HNRNPA1P26	Xq22.1	X
HNRNPA1P27	Xq22.1	X
HNRNPA1P28	Xq24	X
HNRNPA1P29	13q31.3	13
HNRNPA1P30	13q12.11	13
HNRNPA1P31	13q31.1	13
HNRNPA1P32	10p11.23	10
HNRNPA1P33	10q11.22	10
HNRNPA1P34	12p13.31	12
HNRNPA1P35	2q33.1	2
HNRNPA1P36	8q21.13	8
HNRNPA1P37	6p25.1	6
HNRNPA1P38	8q24.3	8
HNRNPA1P39	2q31.1	2
HNRNPA1P40	11q13.4	11
HNRNPA1P41	9p24.1	9
HNRNPA1P42	1q43	1
HNRNPA1P43	1p13.1	1
HNRNPA1P44	15q22.31	15
HNRNPA1P45	15q14	15
HNRNPA1P46	1q31.2	1
HNRNPA1P47	2q32.3	2
HNRNPA1P49	6q27	6
HNRNPA1P50	12q22	12
HNRNPA1P51	2q33.3	2
HNRNPA1P52	19q13.2	19
HNRNPA1P53	11p15.4	11
HNRNPA1P54	1q25.2	1
HNRNPA1P55	4q13.3	4
HNRNPA1P56	4q21.1	4
HNRNPA1P57	2p22.1	2
HNRNPA1P58	6p22.3	6
HNRNPA1P59	1q32.1	1
HNRNPA1P60	11q23.1	11
HNRNPA1P61	2p22.3	2
HNRNPA1P62	15q26.3	15
HNRNPA1P63	1p32.3	1
HNRNPA1P64	1p31.1	1
HNRNPA1P65	4p15.2	4
HNRNPA1P66	2p15	2
HNRNPA1P67	4q13.3	4
HNRNPA1P68	1p21.2	1
HNRNPA1P69	12q14.2	12
HNRNPA1P70	12q15	12
HNRNPA1P71	15q13.3	15
HNRNPA1P72	11q14.1	11
HNRNPA1P73	7p15.2	7
HNRNPA1P74	15q21.3	15
HNRNPA1P75	7q11.21	7
HNRNPA1P76	11p15.4	11
HNRNPA1P77	3p21.31	3
HNRNPA2B1	7p15.2	7
HNRNPA3	2q31.2	2
HNRNPA3P1	10q11.21	10
HNRNPA3P2	20q11.23	20
HNRNPA3P3	Xq27.1	X
HNRNPA3P4	6p12.3	6
HNRNPA3P5	13q21.32	13
HNRNPA3P6	3p12.3	3
HNRNPA3P7	5q33.2	5
HNRNPA3P8	3p12.2	3
HNRNPA3P9	11p13	11
HNRNPA3P10	12q13.13	12
HNRNPA3P11	15q21.3	15
HNRNPA3P12	1p32.3	1
HNRNPA3P13	4q21.22	4
HNRNPA3P14	1p31.1	1
HNRNPA3P15	2q33.1	2
HNRNPA3P16	18q21.2	18
HNRNPAB	5q35.3	5
HNRNPABP1	12p13.2	12
HNRNPC	14q11.2	14
HNRNPCL1	1p36.21	1
HNRNPCL2	1p36.21	1
HNRNPCL3	1p36.21	1
HNRNPCL4	1p36.21	1
HNRNPCP1	14q23.1	14
HNRNPCP2	2q32.2	2
HNRNPCP3	15q25.1	15
HNRNPCP4	16p13.13	16
HNRNPCP6	11q14.1	11
HNRNPCP7	7q11.21	7
HNRNPCP8	11q14.2	11
HNRNPCP9	1p31.3	1
HNRNPCP10	Xq27.3	X
HNRNPD	4q21.22	4
HNRNPD-DT	4q21.22	4
HNRNPDL	4q21.22	4
HNRNPDLP1	Xq21.33	X
HNRNPDLP2	2q24.1	2
HNRNPDLP3	Xq21.33	X
HNRNPDLP4	19q13.43	19
HNRNPDLP5	Xp22.2	X
HNRNPDP1	Xq11.2	X
HNRNPDP2	6q12	6
HNRNPF	10q11.21	10
HNRNPFP1	1p34.2	1
HNRNPH1	5q35.3	5
HNRNPH1P1	6q25.3	6
HNRNPH1P2	Xq27.3	X
HNRNPH1P3	5q11.2	5
HNRNPH2	Xq22.1	X
HNRNPH3	10q21.3	10
HNRNPH3P1	Xq21.1	X
HNRNPK	9q21.32	9
HNRNPK-AS1	9q21.32	9
HNRNPKP1	5q23.2	5
HNRNPKP2	2q22.1	2
HNRNPKP3	11p12	11
HNRNPKP4	3q11.2	3
HNRNPKP5	5p15.2	5
HNRNPL	19q13.2	19
HNRNPLL	2p22.1	2
HNRNPLP1	6p24.3	6
HNRNPLP2	15q14	15
HNRNPM	19p13.2	19
HNRNPMP1	15q15.3	15
HNRNPMP2	19q13.32	19
HNRNPR	1p36.12	1
HNRNPRP1	10p12.31	10
HNRNPRP2	11p14.1	11
HNRNPRP3	4p14	4
HNRNPU	1q44	1
HNRNPU-AS1	1q44	1
HNRNPUL1	19q13.2	19
HNRNPUL2	11q12.3	11
HNRNPUL2-BSCL2	11q12.3	11
HNRNPUP1	14q21.2	14
HOAC	reserved	reserved
HOATZ	11q23.1	11
HOGA1	10q24.2	10
HOMER1	5q14.1	5
HOMER2	15q25.2	15
HOMER2P1	14q32.33	14
HOMER2P2	14q32.33	14
HOMER3	19p13.11	19
HOMER3-AS1	19p13.11	19
HOMEZ	14q11.2	14
HOMG	9q12	9
HOMG2	11q23	11
HOOK1	1p32.1	1
HOOK2	19p13.13	19
HOOK3	8p11.21	8
HOPX	4q12	4
HORMAD1	1q21.3	1
HORMAD2	22q12.2	22
HORMAD2-AS1	22q12.2	22
HOTAIR	12q13.13	12
HOTAIRM1	7p15.2	7
HOTTIP	7p15.2	7
HOXA-AS2	7p15.2	7
HOXA-AS3	7p15.2	7
HOXA@	7p15.2	7
HOXA1	7p15.2	7
HOXA2	7p15.2	7
HOXA3	7p15.2	7
HOXA4	7p15.2	7
HOXA5	7p15.2	7
HOXA6	7p15.2	7
HOXA7	7p15.2	7
HOXA9	7p15.2	7
HOXA10	7p15.2	7
HOXA10-AS	7p15.2	7
HOXA11	7p15.2	7
HOXA11-AS	7p15.2	7
HOXA13	7p15.2	7
HOXB-AS1	17q21.32	17
HOXB-AS2	17q21.32	17
HOXB-AS3	17q21.32	17
HOXB-AS4	17q21.32	17
HOXB@	17q21.32	17
HOXB1	17q21.32	17
HOXB2	17q21.32	17
HOXB3	17q21.32	17
HOXB4	17q21.32	17
HOXB5	17q21.32	17
HOXB6	17q21.32	17
HOXB7	17q21.32	17
HOXB8	17q21.32	17
HOXB9	17q21.32	17
HOXB13	17q21.32	17
HOXC-AS1	12q13.13	12
HOXC-AS2	12q13.13	12
HOXC-AS3	12q13.13	12
HOXC@	12q12-q13	12
HOXC4	12q13.13	12
HOXC5	12q13.13	12
HOXC6	12q13.13	12
HOXC8	12q13.13	12
HOXC9	12q13.13	12
HOXC10	12q13.13	12
HOXC11	12q13.13	12
HOXC12	12q13.13	12
HOXC13	12q13.13	12
HOXC13-AS	12q13.13	12
HOXD-AS2	2q31.1	2
HOXD@	2q31.1	2
HOXD1	2q31.1	2
HOXD3	2q31.1	2
HOXD4	2q31.1	2
HOXD8	2q31.1	2
HOXD9	2q31.1	2
HOXD10	2q31.1	2
HOXD11	2q31.1	2
HOXD12	2q31.1	2
HOXD13	2q31.1	2
HP	16q22.2	16
HP1BP3	1p36.12	1
HPC1	1q24-q25	1
HPCA	1p35.1	1
HPCAL1	2p25.1	2
HPCAL4	1p34.2	1
HPCX	Xq27-q28	X
HPD	12q24.31	12
HPDL	1p34.1	1
HPE1	21q22.3	21
HPE2	2p21	2
HPF1	4q33	4
HPFH2	7q36	7
HPGD	4q34.1	4
HPGDS	4q22.3	4
HPLH1	9q21.3-q22	9
HPN	19q13.11	19
HPN-AS1	19q13.11-q13.12	19
HPP1	19pter-p13.1	19
HPR	16q22.2	16
HPRT1	Xq26.2-q26.3	X
HPRT1P1	4p15.32	4
HPRT1P2	5p13.3	5
HPRT1P3	11q21	11
HPRT2	reserved	reserved
HPRTP1	3	3
HPRTP4	11q	11
HPS1	10q24.2	10
HPS1-AS1	10q24.2	10
HPS3	3q24	3
HPS4	22q12.1	22
HPS5	11p15.1	11
HPS6	10q24.32	10
HPSE	4q21.23	4
HPSE2	10q24.2	10
HPT	Xq27	X
HPV6AI1	10q24	10
HPV18I1	8q24	8
HPV18I2	12q14	12
HPVC1	7p11.2	7
HPX	11p15.4	11
HPYR1	8q24.22	8
HR	8p21.3	8
HRAS	11p15.5	11
HRC	19q13.33	19
HRCT1	9p13.3	9
HRD	1q42-q43	1
HRES1	1q42	1
HRG	3q27.3	3
HRG-AS1	3q27.3	3
HRGP1	3q27.3	3
HRGP2	3q27.3	3
HRH1	3p25.3	3
HRH2	5q35.2	5
HRH3	20q13.33	20
HRH4	18q11.2	18
HRK	12q24.22	12
HRMT1L5	reserved	reserved
HRNR	1q21.3	1
HROB	17q21.31	17
HRPT1	1q25-q31	1
HRURF	8p21.3	8
HS1BP3	2p24.1	2
HS1BP3-IT1	2p24.1	2
HS2ST1	1p22.3	1
HS3ST1	4p15.33	4
HS3ST2	16p12.2	16
HS3ST3A1	17p12	17
HS3ST3B1	17p12	17
HS3ST4	16p12.1	16
HS3ST5	6q21-q22.1	6
HS3ST6	16p13.3	16
HS6ST1	2q14.3	2
HS6ST1P1	1p36.12	1
HS6ST2	Xq26.2	X
HS6ST2-AS1	Xq26.2	X
HS6ST3	13q32.1	13
HSBP1	16q23.3	16
HSBP1L1	18q23	18
HSBP1P1	14q23.1	14
HSBP1P2	4q25	4
HSCB	22q12.1	22
HSCR2	13q21-q32.1 or 13q32.3-q33.2	13
HSD3B1	1p12	1
HSD3B2	1p12	1
HSD3B7	16p11.2	16
HSD3BP1	1p12	1
HSD3BP2	1p12	1
HSD3BP3	1p12	1
HSD3BP4	1p12	1
HSD3BP5	1p12	1
HSD11B1	1q32.2	1
HSD11B1-AS1	1q32.2	1
HSD11B1L	19p13.3	19
HSD11B2	16q22.1	16
HSD17B1	17q21.2	17
HSD17B1-AS1	17q21.2	17
HSD17B1P1	17q21.2	17
HSD17B2	16q23.3	16
HSD17B2-AS1	16q23.3	16
HSD17B3	9q22.32	9
HSD17B3-AS1	9q22.32	9
HSD17B4	5q23.1	5
HSD17B5	10p15-p14	10
HSD17B6	12q13.3	12
HSD17B7	1q23.3	1
HSD17B7P1	1q44	1
HSD17B7P2	10p11.1	10
HSD17B8	6p21.32	6
HSD17B10	Xp11.22	X
HSD17B11	4q22.1	4
HSD17B12	11p11.2	11
HSD17B13	4q22.1	4
HSD17B14	19q13.33	19
HSDL1	16q24.1	16
HSDL2	9q32	9
HSDL2-AS1	9q32	9
HSF1	8q24.3	8
HSF2	6q22.31	6
HSF2BP	21q22.3	21
HSF4	16q22.1	16
HSF5	17q22	17
HSFX1	Xq28	X
HSFX2	Xq28	X
HSFX3	Xq28	X
HSFX4	Xq28	X
HSFY1	Yq11.222	Y
HSFY1P1	22q11.1	22
HSFY2	Yq11.222	Y
HSFY3P	Yp11.2	Y
HSFY4P	Yq11.223	Y
HSFY5P	Yq11.223	Y
HSFY6P	Yq11.223	Y
HSFY7P	Yq11.223	Y
HSFY8P	Yq11.23	Y
HSH2D	19p13.11	19
HSN1	9q22.1-q22.3	9
HSN2	12p13.33	12
HSP90AA1	14q32.31	14
HSP90AA2P	11p14.1	11
HSP90AA3P	1q23.1	1
HSP90AA4P	4q35.2	4
HSP90AA5P	3q27.1	3
HSP90AA6P	4q33	4
HSP90AB1	6p21.1	6
HSP90AB2P	4p15.33	4
HSP90AB3P	4q22.1	4
HSP90AB4P	15q21.3	15
HSP90AB5P	3p13-p12.3	3
HSP90AB6P	13q32.1	13
HSP90AB7P	10p14	10
HSP90B1	12q23.3	12
HSP90B2P	15q26.3	15
HSP90B3P	1p22.1	1
HSPA1A	6p21.33	6
HSPA1B	6p21.33	6
HSPA1L	6p21.33	6
HSPA2	14q23.3	14
HSPA2-AS1	14q23.3	14
HSPA3	21	21
HSPA4	5q31.1	5
HSPA4L	4q28.1	4
HSPA5	9q33.3	9
HSPA5-DT	9q33.3	9
HSPA5P1	1p34.3	1
HSPA6	1q23.3	1
HSPA7	1q23.3	1
HSPA8	11q24.1	11
HSPA8P1	Xq24	X
HSPA8P2	13q31.3	13
HSPA8P3	10p12.1	10
HSPA8P4	5q23.3	5
HSPA8P5	12p13.32	12
HSPA8P6	2q34	2
HSPA8P7	Xq23	X
HSPA8P8	7p21.3	7
HSPA8P9	3q22.3	3
HSPA8P10	2q37.2	2
HSPA8P11	8p12	8
HSPA8P12	4q35.2	4
HSPA8P13	8q11.1	8
HSPA8P14	12q24.12	12
HSPA8P15	6q25.1	6
HSPA8P16	7q21.11	7
HSPA8P17	9p21.1	9
HSPA8P18	3p24.3	3
HSPA8P19	3q22.1	3
HSPA8P20	Xq25	X
HSPA9	5q31.2	5
HSPA9A	reserved	reserved
HSPA9P1	2q36.1	2
HSPA9P2	18q12.1	18
HSPA12A	10q25.3	10
HSPA12A-AS1	10q25.3	10
HSPA12B	20p13	20
HSPA13	21q11.2	21
HSPA14	10p13	10
HSPB1	7q11.23	7
HSPB1P1	9q21.13	9
HSPB1P2	Xp11.23	X
HSPB2	11q23.1	11
HSPB2-C11orf52	11q23.1	11
HSPB3	5q11.2	5
HSPB6	19q13.12	19
HSPB7	1p36.13	1
HSPB8	12q24.23	12
HSPB9	17q21.2	17
HSPBAP1	3q21.1	3
HSPBL1	3p21-qter	3
HSPBP1	19q13.42	19
HSPCAL4	14q32.3	14
HSPCP2	15q21.3	15
HSPD1	2q33.1	2
HSPD1P1	5p14.3	5
HSPD1P2	8p23.1	8
HSPD1P3	8p23.1	8
HSPD1P4	12q13.3	12
HSPD1P5	4q31.21	4
HSPD1P6	3p22.2	3
HSPD1P7	21q21.3	21
HSPD1P8	13q31.1	13
HSPD1P9	13q13.3	13
HSPD1P10	6q14.3-q15	6
HSPD1P11	5q15	5
HSPD1P12	12p13.31	12
HSPD1P13	11q22.3	11
HSPD1P14	1p35.1	1
HSPD1P15	5p14.3	5
HSPD1P16	6q25.2	6
HSPD1P17	10q11.23	10
HSPD1P18	5q31.1	5
HSPD1P19	20q13.32	20
HSPD1P20	12p13.31	12
HSPD1P21	20q13.12	20
HSPD1P22	5q12.1	5
HSPDP1	8p23.1	8
HSPDP4	reserved	reserved
HSPE1	2q33.1	2
HSPE1-MOB4	2q33.1	2
HSPE1P1	20q12	20
HSPE1P2	14q23.2	14
HSPE1P3	15q26.1	15
HSPE1P4	12q23.2	12
HSPE1P5	16q22.1	16
HSPE1P6	1q32.1	1
HSPE1P7	16q23.1	16
HSPE1P8	1p34.3	1
HSPE1P9	2q37.1	2
HSPE1P10	5q23.2	5
HSPE1P11	6p21.31	6
HSPE1P12	12p13.2	12
HSPE1P13	2p22.1	2
HSPE1P14	8q22.3	8
HSPE1P15	5q31.2	5
HSPE1P16	16p12.1	16
HSPE1P17	3q11.1	3
HSPE1P18	11q23.3	11
HSPE1P19	3p11.1	3
HSPE1P20	12q24.32	12
HSPE1P21	6q23.2	6
HSPE1P22	9q22.31	9
HSPE1P23	4q13.3	4
HSPE1P24	1p36.22	1
HSPE1P25	1p31.1	1
HSPE1P26	6q25.3	6
HSPE1P27	1p36.12	1
HSPE1P28	9q32	9
HSPG2	1p36.12	1
HSPH1	13q12.3	13
HSR1	6	6
HTATIP2	11p15.1	11
HTATSF1	Xq26.3	X
HTATSF1P1	6p21.32	6
HTATSF1P2	6p25.2	6
HTC1	8	8
HTC2	Xq27.1	X
HTD2	3p14.3	3
HTL	20	20
HTLVR	17q	17
HTN1	4q13.3	4
HTN3	4q13.3	4
HTOR	21	21
HTR1A	5q12.3	5
HTR1B	6q14.1	6
HTR1D	1p36.12	1
HTR1DP1	12p13.33	12
HTR1E	6q14.3	6
HTR1F	3p12	3
HTR2A	13q14.2	13
HTR2A-AS1	13q14.2	13
HTR2B	2q37.1	2
HTR2C	Xq23	X
HTR2C-IT1	Xq23	X
HTR3A	11q23.2	11
HTR3B	11q23.2	11
HTR3C	3q27.1	3
HTR3C2P	3q27.1	3
HTR3D	3q27.1	3
HTR3E	3q27.1	3
HTR3E-AS1	3q27.1	3
HTR4	5q32	5
HTR4-IT1	5q32	5
HTR5A	7q36.2	7
HTR5A-AS1	7q36.2	7
HTR5BP	2q14.1	2
HTR6	1p36.13	1
HTR7	10q23.31	10
HTR7P1	12p13.1	12
HTRA1	10q26.13	10
HTRA2	2p13.1	2
HTRA3	4p16.1	4
HTRA4	8p11.22	8
HTT	4p16.3	4
HTT-AS	4p16.3	4
HTX2	reserved	reserved
HULC	6p24.3	6
HUNK	21q22.11	21
HUNK-AS1	21q22.11	21
HUS1	7p12.3	7
HUS1B	6p25.3	6
HUWE1	Xp11.22	X
HV1S	3 or 11p11-qter	3 or 11
